,platformId,gameId,champion,queue,season,timestamp,role,lane,status.status_code,status.message,matches,startIndex,endIndex,totalGames
0,NA1,-2147483648,75.0,420.0,13.0,1576804763905.0,SOLO,TOP,,,,,,
1,NA1,-2147483648,75.0,420.0,13.0,1576556412164.0,SOLO,TOP,,,,,,
2,NA1,-2147483648,75.0,420.0,13.0,1555773857496.0,DUO_SUPPORT,TOP,,,,,,
3,NA1,-2147483648,75.0,420.0,12.0,1547600512856.0,DUO_SUPPORT,NONE,,,,,,
4,NA1,-2147483648,75.0,420.0,12.0,1547320644347.0,NONE,JUNGLE,,,,,,
5,NA1,-2147483648,75.0,420.0,12.0,1547318923049.0,NONE,JUNGLE,,,,,,
6,NA1,-2147483648,75.0,420.0,12.0,1547317099754.0,NONE,JUNGLE,,,,,,
7,NA1,-2147483648,75.0,420.0,12.0,1547074197924.0,NONE,JUNGLE,,,,,,
8,NA1,-2147483648,75.0,420.0,12.0,1547062335184.0,SOLO,MID,,,,,,
9,NA1,-2147483648,75.0,420.0,13.0,1560631609940.0,SOLO,TOP,,,,,,
10,NA1,-2147483648,75.0,420.0,13.0,1558712828211.0,SOLO,TOP,,,,,,
11,NA1,-2147483648,75.0,420.0,13.0,1558385394394.0,SOLO,TOP,,,,,,
12,NA1,-2147483648,75.0,420.0,13.0,1558383385419.0,DUO_SUPPORT,NONE,,,,,,
13,NA1,-2147483648,75.0,420.0,13.0,1555556952175.0,DUO_SUPPORT,NONE,,,,,,
14,NA1,-2147483648,75.0,420.0,12.0,1547403493177.0,SOLO,TOP,,,,,,
15,NA1,-2147483648,75.0,420.0,12.0,1547193424689.0,NONE,JUNGLE,,,,,,
16,NA1,-2147483648,75.0,420.0,12.0,1547190521039.0,NONE,JUNGLE,,,,,,
17,NA1,-2147483648,75.0,420.0,12.0,1547188040806.0,NONE,JUNGLE,,,,,,
18,NA1,-2147483648,75.0,420.0,12.0,1547185289742.0,NONE,JUNGLE,,,,,,
19,NA1,-2147483648,75.0,420.0,12.0,1547182663826.0,NONE,JUNGLE,,,,,,
20,NA1,-2147483648,75.0,420.0,13.0,1586134998816.0,DUO,MID,,,,,,
21,NA1,-2147483648,75.0,420.0,12.0,1547097161111.0,NONE,JUNGLE,,,,,,
22,NA1,-2147483648,75.0,420.0,13.0,1548551109826.0,SOLO,TOP,,,,,,
23,NA1,-2147483648,75.0,420.0,13.0,1548547820802.0,SOLO,TOP,,,,,,
24,NA1,-2147483648,75.0,420.0,13.0,1548543065230.0,SOLO,TOP,,,,,,
25,NA1,-2147483648,75.0,420.0,13.0,1549903084567.0,SOLO,TOP,,,,,,
26,NA1,-2147483648,75.0,420.0,12.0,1548215479829.0,SOLO,TOP,,,,,,
27,NA1,-2147483648,75.0,420.0,12.0,1547177344729.0,NONE,JUNGLE,,,,,,
28,NA1,-2147483648,75.0,420.0,12.0,1547156110641.0,NONE,JUNGLE,,,,,,
29,NA1,-2147483648,75.0,420.0,13.0,1548664154256.0,DUO,NONE,,,,,,
30,NA1,-2147483648,75.0,420.0,13.0,1548644466608.0,NONE,JUNGLE,,,,,,
31,NA1,-2147483648,75.0,420.0,13.0,1587414426525.0,DUO_SUPPORT,NONE,,,,,,
32,NA1,-2147483648,75.0,420.0,13.0,1587411699496.0,SOLO,TOP,,,,,,
33,NA1,-2147483648,75.0,420.0,13.0,1586033992669.0,NONE,JUNGLE,,,,,,
34,NA1,-2147483648,75.0,420.0,13.0,1586018602371.0,SOLO,TOP,,,,,,
35,NA1,-2147483648,75.0,420.0,13.0,1585970793355.0,SOLO,TOP,,,,,,
36,NA1,-2147483648,75.0,420.0,13.0,1585786247743.0,NONE,JUNGLE,,,,,,
37,NA1,-2147483648,75.0,420.0,13.0,1560711797843.0,NONE,JUNGLE,,,,,,
38,NA1,-2147483648,75.0,420.0,13.0,1549675179671.0,SOLO,TOP,,,,,,
39,NA1,-2147483648,75.0,420.0,13.0,1548559020891.0,SOLO,TOP,,,,,,
40,NA1,-2147483648,75.0,420.0,12.0,1547427200402.0,NONE,JUNGLE,,,,,,
41,NA1,-2147483648,75.0,420.0,13.0,1575419208180.0,SOLO,TOP,,,,,,
42,NA1,-2147483648,75.0,420.0,13.0,1573257484809.0,SOLO,TOP,,,,,,
43,NA1,-2147483648,75.0,420.0,13.0,1553643304676.0,SOLO,TOP,,,,,,
44,NA1,-2147483648,75.0,420.0,11.0,1541372323746.0,SOLO,TOP,,,,,,
45,NA1,-2147483648,75.0,420.0,11.0,1537538314672.0,DUO_SUPPORT,NONE,,,,,,
46,NA1,-2147483648,75.0,420.0,13.0,1576309445181.0,DUO,NONE,,,,,,
47,NA1,-2147483648,75.0,420.0,13.0,1576233356504.0,SOLO,TOP,,,,,,
48,NA1,-2147483648,75.0,420.0,13.0,1576230125089.0,SOLO,TOP,,,,,,
49,NA1,-2147483648,75.0,420.0,13.0,1552195371434.0,DUO_SUPPORT,NONE,,,,,,
50,NA1,-2147483648,75.0,420.0,13.0,1575625768218.0,SOLO,TOP,,,,,,
51,NA1,-2147483648,75.0,420.0,13.0,1555527163035.0,SOLO,TOP,,,,,,
52,NA1,-2147483648,75.0,420.0,13.0,1571026032195.0,SOLO,TOP,,,,,,
53,NA1,-2147483648,75.0,420.0,11.0,1538883135059.0,DUO,TOP,,,,,,
54,NA1,-2147483648,75.0,420.0,13.0,1578017308352.0,SOLO,TOP,,,,,,
55,NA1,-2147483648,75.0,420.0,13.0,1577671886541.0,DUO_SUPPORT,NONE,,,,,,
56,NA1,-2147483648,75.0,420.0,13.0,1577405360608.0,SOLO,MID,,,,,,
57,NA1,-2147483648,75.0,420.0,12.0,1547869740732.0,SOLO,TOP,,,,,,
58,NA1,-2147483648,75.0,420.0,12.0,1547394863540.0,SOLO,TOP,,,,,,
59,NA1,-2147483648,75.0,420.0,13.0,1549333607482.0,DUO_SUPPORT,NONE,,,,,,
60,NA1,-2147483648,75.0,420.0,13.0,1560567809108.0,SOLO,TOP,,,,,,
61,NA1,-2147483648,75.0,420.0,13.0,1558496180668.0,SOLO,TOP,,,,,,
62,NA1,-2147483648,75.0,420.0,12.0,1547449591606.0,NONE,JUNGLE,,,,,,
63,NA1,-2147483648,75.0,420.0,12.0,1547360948686.0,DUO_SUPPORT,NONE,,,,,,
64,NA1,-2147483648,75.0,420.0,12.0,1547356000588.0,NONE,JUNGLE,,,,,,
65,NA1,-2147483648,75.0,420.0,12.0,1547271781550.0,NONE,JUNGLE,,,,,,
66,NA1,-2147483648,75.0,420.0,13.0,1593305139777.0,SOLO,TOP,,,,,,
67,NA1,-2147483648,75.0,420.0,13.0,1592916038928.0,SOLO,TOP,,,,,,
68,NA1,-2147483648,75.0,420.0,13.0,1592810795434.0,DUO_SUPPORT,NONE,,,,,,
