,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
0,c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,OH4vFxndJsjqR27PFMuZLXJrtfSXUsYOxjc99YB-9GsYtU4,Palafox,1630.0,462.0,375.0,True,False,False,True
1,c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,EkFuWIePS42U3uBRJP8Thl7ExdPEXAulbzf1YHZNnCrBIcc,qpalzmwoiaj,1430.0,559.0,487.0,True,False,False,False
2,c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,sukBo43KSAa_VEfmyBAKko8bagBI9KyovZMHZ6O9UXis0OiU,Yunbee,1408.0,408.0,343.0,True,False,False,True
3,c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,4QC9OeJ97_cDPhqPx6MVRCTqYJJRIppN-THRWBCtWROCYus,C9 Zven,1332.0,485.0,380.0,True,False,False,False
4,c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,YF4c9dFrcNM2LbcDtM19THRbkk_LCA_k3WOymBQLTHXKfdjt,VX Arendel,1318.0,200.0,139.0,True,False,False,False
5,c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,e7tVd7AmTBF5bqgg7icVYLCY9C25lq2QyLIuicGne_YpCjI,PantsAreFacebook,1310.0,309.0,238.0,True,False,False,False
6,c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,Mfmc1gDXoxT4hidBJJ9uV7yrqGZbi23LvoHTcjuvH-YcQaY,C9 VULCANNN,1278.0,297.0,202.0,True,False,False,False
7,c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,PzvHHt87aRND34chPf304soVXF3iKcGY-F_nDqyZlP9tLtDF,From Iron,1270.0,609.0,500.0,True,False,False,False
8,c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,ul8jw2zK_NKPTkmH_3Y0LLl1lxpvTWGf430AnvoI0Z6skjk,Josedeodo,1268.0,347.0,255.0,True,False,False,False
9,c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,tUt2TJDwCfvuGFdpg1n-dkRxgMZk_0Rqq-SDYNItJcc621c,Liquid Impact,1255.0,505.0,420.0,True,False,False,False
10,c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,X6FFBK1Sg-Pdr53H5o0CmZ9R1nA1QvaTYBkFOMGINKF7acc,Ssumdayday,1247.0,376.0,303.0,True,False,False,False
11,c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,N0sQFgeLmjfQR-lKaSugm3WMrE7T9CZYKYV8MV0y03mc218,C9 ZVENNN,1244.0,296.0,191.0,True,False,False,False
12,c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,yVBkYXxQrJIdaVgZR7VXUU4k_xJORKTjj4iqvql1BLiseLs,jojopyun 15,1235.0,531.0,418.0,True,False,False,False
13,c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,x8TCSBAHn1XJutnhiF8I5dIriGywJDy0Zz5CyTGiXn478C0,rjsdndgod,1221.0,862.0,791.0,True,False,False,False
14,c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,j_pNQAF0dIFI9QJ_VCPVzGygT5OaKKZ5VT22TOETP-04FmE,Neøø,1214.0,337.0,272.0,True,False,False,False
15,c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,by2A6PgNU25d_VT13XMR0m8J4b3QPNqSVHED9km9QbTz9PM,Viber,1204.0,259.0,208.0,True,False,False,True
16,c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,SFm8gF0HlIx140SihkNRGOtadzr91hJ0jMlpYgU-rj3KTA8,T4ctical,1199.0,216.0,161.0,True,False,False,True
17,c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,whFRc2ytiBpCXNY91TycbPYWPFjwj5a9gj8wfkzg8of3dDp_,TL Tactical,1191.0,259.0,191.0,True,False,False,False
18,c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,Ko5tmTINwB0WC0w-jgJ7GbrBoOw6UsyERcrUnBrcdbn7Aks,100 Tenacity,1170.0,252.0,143.0,True,False,False,False
19,c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,CgnZ3VFvA8QmxGxw0wkS6ztrCbKY0FJTpSZUL8Q3_uB0a6I,General Sniper,1166.0,396.0,336.0,True,False,False,False
20,c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,iMxT1rtTHODkb4KSqgQNF8iPs2YKHDQZwSXC-RlA7xse1EQ,RoseThorn1,1165.0,278.0,202.0,True,False,False,False
21,c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,bEHcv2aAQb5O8VfWpQnhMJg2Sn291rzVe81SnhItGdSYYJk,C9 Vulcan,1162.0,187.0,143.0,True,False,False,False
22,c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,P7LHDY-qL_4Ug7GeOd1ZwEUlkAUC9JVdJJt2ziYsNdzsSeY,OSHMKUFA,1162.0,165.0,108.0,True,False,False,False
23,c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,-gsFTeLXB1TqNNzJT8hkuFuCM9XoA1Vmb3gh-AZpM8WMNc0,Tactical,1162.0,157.0,96.0,True,False,False,False
